Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate      
2L:0..99999      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
2L:100000..199999      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
2L:200000..299999      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00      
2L:300000..399999      	0.00      	0.00      	0.00      	0.00      	0.23      	0.23      
2L:400000..499999      	0.00      	0.00      	0.00      	0.23      	0.23      	0.23      
2L:500000..599999      	0.00      	2.80      	2.82      	0.23      	1.99      	1.99      
2L:600000..699999      	2.82      	2.84      	2.86      	1.99      	1.41      	1.41      
2L:700000..799999      	2.86      	2.88      	2.90      	1.41      	1.06      	1.06      
2L:800000..899999      	2.90      	2.91      	2.93      	1.06      	2.35      	2.35      
2L:900000..999999      	2.93      	2.95      	2.97      	2.35      	3.05      	3.05      
2L:1000000..1099999      	2.97      	2.98      	3.00      	3.05      	3.40      	3.40      
2L:1100000..1199999      	3.00      	3.02      	3.03      	3.40      	2.81      	2.81      
2L:1200000..1299999      	3.03      	3.05      	3.07      	2.81      	3.64      	3.64      
2L:1300000..1399999      	3.07      	3.08      	3.10      	3.64      	1.76      	1.76      
2L:1400000..1499999      	3.10      	3.12      	3.13      	1.76      	0.70      	0.70      
2L:1500000..1599999      	3.13      	3.15      	3.16      	0.70      	2.46      	2.46      
2L:1600000..1699999      	3.16      	3.18      	3.20      	2.46      	2.93      	2.93      
2L:1700000..1799999      	3.20      	3.21      	3.23      	2.93      	2.23      	2.23      
2L:1800000..1899999      	3.23      	3.24      	3.26      	2.23      	1.76      	1.76      
2L:1900000..1999999      	3.26      	3.27      	3.28      	1.76      	5.39      	5.39      
2L:2000000..2099999      	3.28      	3.30      	3.31      	5.39      	2.46      	2.46      
2L:2100000..2199999      	3.31      	3.33      	3.34      	2.46      	1.64      	1.64      
2L:2200000..2299999      	3.34      	3.36      	3.37      	1.64      	3.64      	3.64      
2L:2300000..2399999      	3.37      	3.38      	3.40      	3.64      	1.64      	1.64      
2L:2400000..2499999      	3.40      	3.41      	3.42      	1.64      	4.69      	4.69      
2L:2500000..2599999      	3.42      	3.44      	3.45      	4.69      	2.58      	2.58      
2L:2600000..2699999      	3.45      	3.46      	3.47      	2.58      	2.58      	2.58      
2L:2700000..2799999      	3.47      	3.49      	3.50      	2.58      	5.75      	5.75      
