"chrom"	"start"	"end"	"MDS1"	"MDS2"
"Chr3R"	49911	105260	-0.0189867586738734	-0.0518705901250753
"Chr3R"	105284	149239	0.0525300360329985	-0.0403390486954334
"Chr3R"	149244	201574	0.00632179719982946	-0.0415342923009378
"Chr3R"	201683	247528	0.0240723805440207	-0.0397049224084917
"Chr3R"	247532	288270	0.04250776428635	-0.0309926880677936
"Chr3R"	288291	325519	0.0644449149026582	-0.0320028840542024
"Chr3R"	325551	350065	0.0587191522780334	-0.0351488677896569
"Chr3R"	350070	378316	0.206170202299026	-0.0211575097771299
"Chr3R"	378318	405193	0.16774735826959	-0.0215312565105707
"Chr3R"	405194	433641	0.202354624498525	-0.0436928215849748
"Chr3R"	433644	463484	0.253038868078787	-0.0129372745509782
"Chr3R"	463495	497289	0.220826378900977	-0.00437874056194917
"Chr3R"	497325	524762	0.231243075554572	0.0316185162777927
"Chr3R"	524764	555402	0.0020709004770195	-0.0532698557785845
"Chr3R"	555413	590844	0.146128797686985	0.0244946716385924
"Chr3R"	590845	628829	0.0233150909744011	-0.0321728745581579
"Chr3R"	628907	659537	0.135297504448036	-0.0068513837248872
"Chr3R"	659542	688102	0.156441778665528	-0.00114914405783879
"Chr3R"	688139	725256	0.142484932558516	-0.0249842834670136
"Chr3R"	725312	755069	0.147797177371306	-0.0159520657194128
"Chr3R"	755076	784526	0.164644738759153	0.0145256114829939
"Chr3R"	784560	807014	0.195015649901072	0.00291119300637069
"Chr3R"	807028	835544	0.120079272477114	-0.0243908528819824
"Chr3R"	835558	857573	0.13221943180438	-0.0507703073592842
"Chr3R"	857595	886975	0.152069366218674	-0.0538662662528921
"Chr3R"	886978	915815	0.192476847674774	-0.0332611104073995
"Chr3R"	915841	937614	0.247774745439964	0.00586626957781815
"Chr3R"	937632	958881	0.302070468018586	0.0108644044617943
"Chr3R"	958894	981133	0.290920629911929	-0.0390921838907209
"Chr3R"	981135	1003952	-0.0511343488936214	-0.0654611589450776
"Chr3R"	1003974	1027060	0.00751081780916189	-0.0658629697762519
"Chr3R"	1027061	1050237	0.0135743793985912	-0.0520385634863648
"Chr3R"	1050257	1078386	0.172895466016007	-0.0308678638354385
"Chr3R"	1078405	1107239	0.168685178733861	-0.0120681445563267
