"chrom"	"start"	"end"	"MDS1"	"MDS2"
"Chr2R"	1221599	1239477	-0.106969480008117	0.0635259114814529
"Chr2R"	1239485	1253124	-0.11484458440224	0.112339312865851
"Chr2R"	1253130	1288799	-0.106393530198596	0.0471172933038878
"Chr2R"	1288803	1301860	-0.0953418374239536	0.00583990496582059
"Chr2R"	1301909	1317628	-0.106656659239337	0.0304422451991328
"Chr2R"	1317634	1330298	-0.106070041196599	0.0812018926705589
"Chr2R"	1330318	1345783	-0.100986300817054	0.00806093860810563
"Chr2R"	1345797	1357708	-0.0919683462488181	-0.0372485522335146
"Chr2R"	1357711	1370123	-0.0850671389955133	-0.00403687454983966
"Chr2R"	1370153	1381261	-0.0812213945424376	-0.00925600842532441
"Chr2R"	1381280	1394178	-0.0980176356178216	0.0208447555958479
"Chr2R"	1394200	1406257	-0.100372349804132	0.0316527717113672
"Chr2R"	1406280	1417992	-0.0897384186758413	0.0663504282375342
"Chr2R"	1418014	1430733	-0.0769896107524535	-0.0484711098104994
"Chr2R"	1434802	1490034	-0.0773663720500988	-0.0256946049999679
"Chr2R"	1490071	1516556	-0.0800058817815771	-0.0171284337567308
"Chr2R"	1516559	1532685	-0.0927225538374432	-0.0240971016978837
"Chr2R"	1532689	1551526	-0.0755999471805353	-0.037285292505542
"Chr2R"	1551528	1568088	-0.0772971401182236	-0.00492232149556341
"Chr2R"	1568104	1582253	-0.105365420809574	0.0502244865975973
"Chr2R"	1582256	1596987	-0.0982479472970368	0.00379870019419495
"Chr2R"	1596989	1610373	-0.094750630188427	0.0822835278774307
"Chr2R"	1610379	1621571	-0.109663228532614	0.102918907189252
"Chr2R"	1621588	1633637	-0.107116593509741	0.144629630942663
"Chr2R"	1633640	1651391	-0.111860784231276	0.163763640873665
"Chr2R"	1651486	1668266	-0.10576719360762	0.176582558885743
"Chr2R"	1668269	1682051	-0.102604818855574	0.218144988212545
"Chr2R"	1682070	1697641	-0.106923777001261	0.348971449031011
"Chr2R"	1697645	1713034	-0.0992262752820077	0.319149284558483
"Chr2R"	1713045	1728012	-0.112688654204793	0.312784301401261
"Chr2R"	1728029	1743678	-0.109152948150369	0.285624783721695
"Chr2R"	1743698	1762302	-0.101208042637759	0.17428470207834
